Date,Open,High,Low,Close,Adj Close,Volume
11-07-13,60.421429,61.17857,60.167141,61.041428,47.552097,81573100
12-07-13,61.092857,61.398571,60.487144,60.93,47.465282,69890800
15-07-13,60.715714,61.637142,60.685715,61.062859,47.568779,60479300
16-07-13,60.931427,61.529999,60.595715,61.457142,47.875942,54134500
17-07-13,61.385715,61.745716,61.174286,61.472858,47.88818,49747600
18-07-13,61.91143,62.124287,61.515713,61.68,48.049549,54719700
19-07-13,61.871429,61.997143,60.621429,60.707142,47.291676,67180400
22-07-13,61.351429,61.392857,60.781429,60.901428,47.443035,51949100
23-07-13,60.857143,60.994286,59.815716,59.855713,46.628403,92348900
24-07-13,62.704285,63.512856,62.18,62.93,49.023308,147984200
25-07-13,62.957142,63.057144,62.258572,62.642857,48.799622,57373400
26-07-13,62.185715,63.005714,62.048573,62.998573,49.076725,50038100
29-07-13,62.971428,64.284286,62.885715,63.970001,49.833496,62014400
30-07-13,64.279999,65.307144,64.175713,64.760002,50.448906,77355600
31-07-13,64.998573,65.334282,64.204285,64.647141,50.360981,80739400
01-08-13,65.10714,65.257141,64.751427,65.239998,50.82283,51562700
02-08-13,65.43,66.121429,65.237144,66.077141,51.474979,68695900
05-08-13,66.384285,67.238571,66.021431,67.064285,52.243965,79713900
06-08-13,66.860001,67.412857,66.024284,66.464287,51.776569,83714400
07-08-13,66.257141,66.714287,65.96714,66.425713,51.746517,74714500
08-08-13,66.265717,66.300003,65.421425,65.858574,53.773788,63944300
09-08-13,65.519997,65.779999,64.807144,64.921425,53.008598,66716300
12-08-13,65.265717,66.949997,65.232857,66.765717,54.514477,91108500
13-08-13,67.277145,70.665718,66.864288,69.938568,57.105125,220485300
14-08-13,71.125717,72.035713,70.485718,71.214287,58.146748,189093100
15-08-13,70.917145,71.771431,69.868568,71.129997,58.07793,122573500
16-08-13,71.449997,71.848572,71.265717,71.761429,58.593491,90576500
19-08-13,72.048569,73.391426,72,72.534286,59.224537,127629600
20-08-13,72.815712,72.938568,71.545715,71.581429,58.446522,89672100
21-08-13,71.941429,72.449997,71.599998,71.765717,58.596992,83969900
22-08-13,72.139999,72.227142,71.171425,71.851425,58.666973,61051900
23-08-13,71.895714,71.907143,71.335716,71.574287,58.440689,55682900
26-08-13,71.535713,72.885712,71.5,71.852859,58.66814,82741400
27-08-13,71.14286,71.78714,69.471428,69.798569,56.990814,106047200
28-08-13,69.428574,70.828575,69.428574,70.128571,57.260258,76902000
29-08-13,70.235718,70.928574,70.16143,70.242859,57.353565,59914400
30-08-13,70.285713,70.421425,69.5,69.602859,56.830997,68074300
03-09-13,70.442856,71.514282,69.621429,69.797142,56.989643,82982200
04-09-13,71.365715,71.748573,70.897141,71.241432,58.168911,86258200
05-09-13,71.464287,71.525711,70.519997,70.752853,57.769978,59091900
06-09-13,71.205711,71.339996,69.992859,71.174286,58.114082,89881400
09-09-13,72.14286,72.559998,71.925713,72.309998,59.041416,85171800
10-09-13,72.314285,72.492859,69.928574,70.662857,57.696491,185798900
11-09-13,66.715714,67.669998,66.401428,66.815712,54.555283,224674100
12-09-13,66.928574,67.914284,66.572861,67.527145,55.136177,101012800
13-09-13,67.048569,67.404289,66.385712,66.414284,54.227524,74708900
16-09-13,65.85714,65.944283,63.888573,64.302856,52.50354,135926700
17-09-13,63.994286,65.672859,63.92857,65.045715,53.110073,99845200
18-09-13,66.168571,66.621429,65.808571,66.382858,54.201862,114215500
19-09-13,67.242859,67.975716,67.035713,67.471428,55.090687,101135300
